fixed_budget,k,experiments,circuit_configs,subsets,median_tvd,q25_tvd,q75_tvd,iqr_tvd,mean_tvd,max_tvd,median_ssr,mean_ssr,median_parallel_ssr,median_tvd_ci_low,median_tvd_ci_high
5000,3,720,72,10,0.030258333333333325,0.013329166666666673,0.1067249999999964,0.09339583333332974,0.08526358796295834,0.4862833333332871,0.75,0.75,0.75,0.02749979166666662,0.03421791666666644
5000,4,360,72,5,0.02666249999999991,0.012278125000000025,0.09249687499999729,0.08021874999999726,0.07466472222222861,0.4312625000001049,0.75,0.75,0.75,0.02317499999999987,0.03286249999999967
5000,5,72,72,1,0.02390000000000036,0.011349999999999957,0.08192750000000174,0.07057750000000178,0.06717208333333226,0.3875899999999681,0.75,0.75,0.75,0.017130000000000065,0.03808912499999994
10000,1,360,72,5,0.029350000000000192,0.012812500000000001,0.09332499999999808,0.08051249999999807,0.07721708333332937,0.38624999999996296,0.5,0.5,0.5,0.02432500000000013,0.03680749999999993
10000,2,720,72,10,0.020949999999999858,0.009650000000000051,0.0735124999999981,0.06386249999999805,0.058390381944445145,0.31785000000007213,0.5,0.5,0.5,0.018974999999999995,0.023824999999999506
10000,3,720,72,10,0.017349999999999994,0.007591666666666669,0.06182499999999836,0.05423333333333169,0.04890756944444193,0.2726499999999742,0.5,0.5,0.5,0.015531666666666917,0.019968749999999976
10000,4,360,72,5,0.015050000000000004,0.006803125000000014,0.055087499999998485,0.04828437499999847,0.04292784722222579,0.24160000000008938,0.5,0.5,0.5,0.012774999999999896,0.019831249999999762
10000,5,72,72,1,0.013659999999999988,0.006172500000000017,0.04859999999999951,0.04242749999999949,0.038736111111114295,0.21831000000005313,0.5,0.5,0.5,0.010289999999999928,0.020149999999999994
15000,1,360,72,5,0.016875,0.0071208333333333115,0.054387499999999284,0.04726666666666597,0.044453842592590484,0.2162166666666467,0.25,0.25,0.25,0.013808333333333332,0.01978333333333355
15000,2,720,72,10,0.01218333333333333,0.005302083333333381,0.042839583333332265,0.037537499999998884,0.03393952546296116,0.1868083333333152,0.25,0.25,0.25,0.01108333333333334,0.013279166666666675
15000,3,720,72,10,0.009847222222222226,0.004691666666666662,0.03581666666666719,0.031125000000000527,0.02844748456790113,0.16329999999999445,0.25,0.25,0.25,0.00915277777777777,0.011450000000000337
15000,4,360,72,5,0.00839791666666663,0.004262500000000052,0.031292708333332635,0.027030208333332584,0.024926238425925472,0.14393750000001065,0.25,0.25,0.25,0.007654166666666634,0.011293749999999731
15000,5,72,72,1,0.007626666666666576,0.003725833333333341,0.027648333333334087,0.023922500000000745,0.02242546296296126,0.1294066666666375,0.25,0.25,0.25,0.0050733333333333065,0.012120000000000006
18000,1,360,72,5,0.009658333333333331,0.004143055555555559,0.030587500000000552,0.026444444444444992,0.023328981481481235,0.09443333333332496,0.09999999999999998,0.09999999999999996,0.09999999999999998,0.007582708333333328,0.011544444444444458
18000,2,720,72,10,0.006945833333333423,0.002975000000000037,0.023765972222221796,0.02079097222222176,0.018563464506172713,0.08881388888888705,0.09999999999999998,0.09999999999999996,0.09999999999999998,0.006072187500000081,0.007503333333333342
18000,3,720,72,10,0.005737962962962941,0.0024342592592592424,0.019916666666666912,0.01748240740740767,0.015924318415638843,0.08340740740742225,0.09999999999999998,0.09999999999999996,0.09999999999999998,0.004985254629629642,0.006377777777777744
18000,4,360,72,5,0.004919444444444443,0.0021201388888888806,0.01772083333333356,0.01560069444444468,0.014136975308641915,0.07831944444444473,0.09999999999999998,0.09999999999999996,0.09999999999999998,0.0040965277777778525,0.0063194444444446
18000,5,72,72,1,0.004385555555555566,0.0018674999999999952,0.015470555555555855,0.01360305555555586,0.012813811728394738,0.07349888888888048,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.0028999722222222005,0.006553333333333334
