circuit_key,algorithm,size,circuit_kind,strategy,fixed_budget,scheme,k,subset_key,backends,backend_labels,weights,shots_total,reference_shots_total,shots_saved,ssr,parallel_ssr,tvd,diversity_global,diversity_on_circuit
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.0025777777777777466,0.15611666666666663,0.09539999999999987
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.033274999999999964,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.020399999999999942,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.014549999999999992,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.009600000000000091,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.0056333333333333626,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.0029750000000000605,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.04654999999999988,0.1422180555555557,0.03889999999999996
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.025649999999999895,0.1422180555555557,0.03889999999999996
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.01585000000000003,0.1422180555555557,0.03889999999999996
