policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_mean_tvd,circuit_max_tvd,circuit_median_ssr,circuit_mean_ssr,circuit_median_parallel_ssr,circuit_mean_parallel_ssr,subset_rows,subsets
local_only_offline_aggregate,confidence,2,vqe_10_circuit,vqe,10,circuit,0.02311559016353157,0.023157260056176306,0.026842531475545557,0.790625,0.7929999999999999,0.7675,0.7657499999999999,10,10
local_only_offline_aggregate,confidence,2,vqe_11_circuit,vqe,11,circuit,0.023537567917702486,0.024079901321423437,0.030594162921553505,0.78625,0.783,0.7525,0.75075,10,10
local_only_offline_aggregate,confidence,2,vqe_12_circuit,vqe,12,circuit,0.02494419194615502,0.02375421549772907,0.027720748051708426,0.75875,0.757,0.7150000000000001,0.7242500000000001,10,10
local_only_offline_aggregate,confidence,2,vqe_13_circuit,vqe,13,circuit,0.027443120937215994,0.027459512199199808,0.0315362439676286,0.661875,0.6645000000000001,0.605,0.61625,10,10
local_only_offline_aggregate,confidence,2,vqe_14_circuit,vqe,14,circuit,0.03422087317443032,0.03398594897374063,0.03611685292277058,0.6481250000000001,0.639,0.5800000000000001,0.5815,10,10
local_only_offline_aggregate,confidence,2,vqe_15_circuit,vqe,15,circuit,0.03214723024774101,0.031169385914411218,0.033255416630678526,0.5700000000000001,0.575,0.5125,0.5207499999999999,10,10
local_only_offline_aggregate,confidence,2,vqe_4_circuit,vqe,4,circuit,0.00811844077616636,0.007547823383806274,0.010310474308300338,0.9437500000000001,0.945,0.9325,0.93775,10,10
local_only_offline_aggregate,confidence,2,vqe_5_circuit,vqe,5,circuit,0.010691323778298914,0.010621820030558027,0.014141206780726952,0.876875,0.8805,0.85,0.86425,10,10
local_only_offline_aggregate,confidence,2,vqe_6_circuit,vqe,6,circuit,0.008702833613205906,0.00921623105409223,0.012490301579488968,0.91,0.9095000000000001,0.9075,0.9,10,10
local_only_offline_aggregate,confidence,2,vqe_7_circuit,vqe,7,circuit,0.01404753528719821,0.014145812767734852,0.01648113142049523,0.848125,0.851,0.8200000000000001,0.8297500000000001,10,10
