split_id,split_mode,repetition,config_id,policy,scheme,train_rows,train_circuit_configs,train_k_values,train_median_tvd,train_q75_tvd,train_q95_tvd,train_max_tvd,train_valid_rate_tvd_le_0p01,train_valid_rate_tvd_le_0p05,train_valid_rate_tvd_le_0p1,train_median_ssr,train_q25_ssr,train_median_parallel_ssr,train_median_total_shots,train_median_max_backend_shots,train_selection_risk,train_selection_risk_detail_json,selection_target_tvd,selection_risk_group,selection_risk_aggregation,selection_objective,selection_relaxed
stratified_size_rep001,stratified_size,1,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,300,60,5,0.021337079052961,0.02860771627565965,0.03674871853267086,0.0467910256410247,0.31333333333333335,1.0,1.0,0.69625,0.0,0.69625,15675.0,6075.0,0.04574043786561663,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.03379924732690003, ""13"": 0.038928234659875924, ""14"": 0.04461859427609322, ""15"": 0.04574043786561663, ""4"": 0.025638495726495656, ""5"": 0.025048475544063777, ""6"": 0.02903424242424235, ""7"": 0.03137397813288472, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep001,stratified_size,1,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,uniform,300,60,5,0.021337079052961,0.02860771627565965,0.036742711001041095,0.0467910256410247,0.31333333333333335,1.0,1.0,0.69625,0.0,0.69625,15675.0,6075.0,0.04571281121448987,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.03378064880701104, ""13"": 0.03889045657854293, ""14"": 0.04461859427609322, ""15"": 0.04571281121448987, ""4"": 0.025638495726495656, ""5"": 0.025048475544063777, ""6"": 0.02903424242424235, ""7"": 0.03137397813288472, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep001,stratified_size,1,b50_lb2_k10_eps0p005,local_only_offline_aggregate,confidence,300,60,5,0.014799061913696,0.02222609193869455,0.03506674360304161,0.0596762773722632,0.2966666666666667,0.9933333333333333,1.0,0.56,0.0734374999999999,0.54625,20000.0,9075.0,0.04561804342804323,"{""10"": 0.03342400398020542, ""11"": 0.03605654284315096, ""12"": 0.03212273669897628, ""13"": 0.033540428163834075, ""14"": 0.0443453846183786, ""15"": 0.04561804342804323, ""4"": 0.01486654784240144, ""5"": 0.021631428571428555, ""6"": 0.026649162561576293, ""7"": 0.03164527513945418, ""8"": 0.03154370344265234, ""9"": 0.029743082327937157}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep001,stratified_size,1,b50_lb2_k5_eps0p005,local_only_offline_aggregate,shot_proportional,300,60,5,0.0162033338758889,0.02414857770621345,0.03814023902964648,0.0665785714285685,0.22333333333333333,0.9833333333333333,1.0,0.5784374999999999,0.0859375,0.56125,19400.0,8775.0,0.049746767109685175,"{""10"": 0.034168907652014295, ""11"": 0.03731262382313588, ""12"": 0.03599316546967082, ""13"": 0.034620277360066516, ""14"": 0.049746767109685175, ""15"": 0.04671825831702426, ""4"": 0.0186380545704994, ""5"": 0.02352096695226432, ""6"": 0.026589746919746835, ""7"": 0.032568935598191316, ""8"": 0.03352414715719052, ""9"": 0.03338960257787315}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep001,stratified_size,1,b50_lb2_k10_eps0p005,local_only_offline_aggregate,uniform,300,60,5,0.01493139931206995,0.0221392124679132,0.03511339408168819,0.0596762773722632,0.30666666666666664,0.9933333333333333,1.0,0.56,0.0734374999999999,0.54625,20000.0,9075.0,0.04561804342804323,"{""10"": 0.033447827789547156, ""11"": 0.035998727605226516, ""12"": 0.03209216361097924, ""13"": 0.033464886479303894, ""14"": 0.044259960128183645, ""15"": 0.04561804342804323, ""4"": 0.01496543455339912, ""5"": 0.021631428571428555, ""6"": 0.026649162561576293, ""7"": 0.03164527513945418, ""8"": 0.03154370344265234, ""9"": 0.029744484089968437}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,300,60,5,0.02287858893557415,0.029203464348334325,0.03836130104330166,0.0487676470588226,0.24333333333333335,1.0,1.0,0.765,0.17812499999999998,0.765,13475.0,4700.0,0.04563150557113503,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03705693713361588, ""14"": 0.045383793473771215, ""15"": 0.04563150557113503, ""4"": 0.026675692307692258, ""5"": 0.02671326603812257, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,aggregate_only_sync,shot_proportional,300,60,5,0.02287858893557415,0.029203464348334325,0.03836130104330166,0.0487676470588226,0.24333333333333335,1.0,1.0,0.765,0.17812499999999998,0.765,13475.0,4700.0,0.04563150557113503,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03705693713361588, ""14"": 0.045383793473771215, ""15"": 0.04563150557113503, ""4"": 0.026675692307692258, ""5"": 0.02671326603812257, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,aggregate_only_sync,uniform,300,60,5,0.02287858893557415,0.029203464348334325,0.03836130104330166,0.0487676470588226,0.24333333333333335,1.0,1.0,0.765,0.17812499999999998,0.765,13475.0,4700.0,0.04563150557113503,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03705693713361588, ""14"": 0.045383793473771215, ""15"": 0.04563150557113503, ""4"": 0.026675692307692258, ""5"": 0.02671326603812257, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,confidence,300,60,5,0.02284946612619715,0.028849092568955376,0.03798169470155803,0.0487676470588226,0.24,1.0,1.0,0.765,0.18046874999999993,0.765,12850.0,4700.0,0.045395667725050305,"{""10"": 0.03316349397590344, ""11"": 0.036067426031280755, ""12"": 0.03794981459711218, ""13"": 0.03827378905419623, ""14"": 0.04494450210908034, ""15"": 0.045395667725050305, ""4"": 0.02697905189786092, ""5"": 0.026784523102609873, ""6"": 0.030574699103713097, ""7"": 0.030690861876229717, ""8"": 0.030403297252284862, ""9"": 0.03331157034604539}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,300,60,5,0.0229734419991772,0.029473305206536828,0.03945892698414713,0.0487676470588226,0.24333333333333335,1.0,1.0,0.765,0.18046874999999993,0.765,12850.0,4700.0,0.04650521969513378,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03925710659422953, ""14"": 0.04650521969513378, ""15"": 0.04574043786561663, ""4"": 0.026675692307692258, ""5"": 0.02671326603812257, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
