split_id,split_mode,repetition,config_id,policy,scheme,train_rows,train_circuit_configs,train_k_values,train_median_tvd,train_q75_tvd,train_q95_tvd,train_max_tvd,train_valid_rate_tvd_le_0p01,train_valid_rate_tvd_le_0p05,train_valid_rate_tvd_le_0p10,train_median_ssr,train_q25_ssr,train_median_parallel_ssr,train_median_total_shots,train_median_max_backend_shots,train_selection_risk_q95,train_selection_risk_max,selected_config_id,selection_relaxed,selection_target_tvd,selection_risk_stat,selection_objective,selection_risk_value
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,hierarchical_local_aggregate,uniform,300,60,5,0.018958088625945863,0.023355146393461597,0.0403783469282786,0.04983861200428687,0.19333333333333333,1.0,1.0,0.670625,0.20281249999999998,0.670625,17375.0,6587.5,0.0403783469282786,0.04983861200428687,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.0403783469282786
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,local_only_offline_aggregate,confidence,300,60,5,0.011849142796265921,0.01922761798965282,0.02958806939719327,0.04586428571428544,0.38,1.0,1.0,0.5425,0.08671875000000001,0.49750000000000005,23075.0,10050.0,0.02958806939719327,0.04586428571428544,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.02958806939719327
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,local_only_offline_aggregate,shot_proportional,300,60,5,0.0118122319441441,0.019283626160524033,0.029902196111924125,0.04586428571428544,0.38,1.0,1.0,0.5425,0.08671875000000001,0.49750000000000005,23075.0,10050.0,0.029902196111924125,0.04586428571428544,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.029902196111924125
stratified_size_rep002,stratified_size,2,b50_lb1_k10_eps0p0025,local_only_offline_aggregate,uniform,300,60,5,0.011815648847548734,0.01927199334794455,0.02955755204594525,0.04586428571428544,0.38666666666666666,1.0,1.0,0.5425,0.08671875000000001,0.49750000000000005,23075.0,10050.0,0.02955755204594525,0.04586428571428544,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.02955755204594525
stratified_size_rep003,stratified_size,3,b50_lb1_k10_eps0p0025,aggregate_only_sync,confidence,300,60,5,0.01731334186939828,0.022412287520729622,0.037707502469516076,0.04485624999999986,0.23333333333333334,1.0,1.0,0.61625,0.1084375,0.61625,18700.0,7675.0,0.037707502469516076,0.04485624999999986,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.037707502469516076
stratified_size_rep003,stratified_size,3,b50_lb1_k10_eps0p0025,aggregate_only_sync,shot_proportional,300,60,5,0.01731334186939828,0.022412287520729622,0.037707502469516076,0.04485624999999986,0.23333333333333334,1.0,1.0,0.61625,0.1084375,0.61625,18700.0,7675.0,0.037707502469516076,0.04485624999999986,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.037707502469516076
stratified_size_rep003,stratified_size,3,b50_lb1_k10_eps0p0025,aggregate_only_sync,uniform,300,60,5,0.01731334186939828,0.022412287520729622,0.037707502469516076,0.04485624999999986,0.23333333333333334,1.0,1.0,0.61625,0.1084375,0.61625,18700.0,7675.0,0.037707502469516076,0.04485624999999986,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.037707502469516076
stratified_size_rep003,stratified_size,3,b50_lb1_k10_eps0p0025,hierarchical_local_aggregate,confidence,300,60,5,0.01737750703717713,0.022227877013367217,0.03769516073564237,0.04460863336183131,0.24333333333333335,1.0,1.0,0.61625,0.1084375,0.61625,18700.0,7675.0,0.03769516073564237,0.04460863336183131,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.03769516073564237
stratified_size_rep003,stratified_size,3,b50_lb1_k10_eps0p0025,hierarchical_local_aggregate,shot_proportional,300,60,5,0.01731334186939828,0.02238998778821366,0.037707502469516076,0.04485624999999986,0.23333333333333334,1.0,1.0,0.61625,0.1084375,0.61625,18700.0,7675.0,0.037707502469516076,0.04485624999999986,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.037707502469516076
stratified_size_rep003,stratified_size,3,b50_lb1_k10_eps0p0025,hierarchical_local_aggregate,uniform,300,60,5,0.01731334186939828,0.02238998778821366,0.037707502469516076,0.04485624999999986,0.23333333333333334,1.0,1.0,0.61625,0.1084375,0.61625,18700.0,7675.0,0.037707502469516076,0.04485624999999986,b50_lb1_k10_eps0p0025,False,0.05,q95,max_ssr,0.037707502469516076
