config_id,policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_q95_tvd,circuit_max_tvd,circuit_median_ssr,circuit_median_parallel_ssr,circuit_median_total_shots,circuit_median_max_backend_shots,subset_rows
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_13_circuit,dj,13,circuit,0.025270000000000327,0.025270000000000327,0.025270000000000327,0.875,0.875,12500.0,2500.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_14_circuit,dj,14,circuit,0.029287586206897143,0.029287586206897143,0.029287586206897143,0.855,0.855,14500.0,2900.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_15_circuit,dj,15,circuit,0.031576384839649696,0.031576384839649696,0.031576384839649696,0.8285,0.8275,17150.0,3450.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_4_circuit,dj,4,circuit,0.004413333333333321,0.004413333333333321,0.004413333333333321,0.985,0.985,1500.0,300.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_5_circuit,dj,5,circuit,0.0058736842105262645,0.0058736842105262645,0.0058736842105262645,0.962,0.96,3800.0,800.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_6_circuit,dj,6,circuit,0.00827937499999999,0.00827937499999999,0.00827937499999999,0.96,0.9575,4000.0,850.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_7_circuit,dj,7,circuit,0.015361578947368443,0.015361578947368443,0.015361578947368443,0.9525,0.9525,4750.0,950.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_8_circuit,dj,8,circuit,0.013432608695652147,0.013432608695652147,0.013432608695652147,0.9425,0.9425,5750.0,1150.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,dj_9_circuit,dj,9,circuit,0.02625000000000005,0.02625000000000005,0.02625000000000005,0.928,0.925,7200.0,1500.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_10_circuit,qaoa,10,circuit,0.030879171270718226,0.030879171270718226,0.030879171270718226,0.5475,0.5475,45250.0,9050.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_11_circuit,qaoa,11,circuit,0.03248648648648612,0.03248648648648612,0.03248648648648612,0.5375,0.5375,46250.0,9250.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_12_circuit,qaoa,12,circuit,0.038414388185653126,0.038414388185653126,0.038414388185653126,0.4075,0.4075,59250.0,11850.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_13_circuit,qaoa,13,circuit,0.037056254295533456,0.037056254295533456,0.037056254295533456,0.27249999999999996,0.27249999999999996,72750.0,14550.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_14_circuit,qaoa,14,circuit,0.045560297397769796,0.045560297397769796,0.045560297397769796,0.3275,0.3275,67250.0,13450.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_15_circuit,qaoa,15,circuit,0.014616528497406842,0.014616528497406842,0.014616528497406842,0.03500000000000003,0.03500000000000003,96500.0,19300.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_4_circuit,qaoa,4,circuit,0.01450857142857146,0.01450857142857146,0.01450857142857146,0.965,0.965,3500.0,700.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_5_circuit,qaoa,5,circuit,0.01762219512195123,0.01762219512195123,0.01762219512195123,0.8975,0.8975,10250.0,2050.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_6_circuit,qaoa,6,circuit,0.022484285714285727,0.022484285714285727,0.022484285714285727,0.8775,0.8775,12250.0,2450.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_7_circuit,qaoa,7,circuit,0.025406666666666678,0.025406666666666678,0.025406666666666678,0.8125,0.8125,18750.0,3750.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_8_circuit,qaoa,8,circuit,0.025247777777777782,0.025247777777777782,0.025247777777777782,0.775,0.775,22500.0,4500.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qaoa_9_circuit,qaoa,9,circuit,0.02651682926829271,0.02651682926829271,0.02651682926829271,0.6925,0.6925,30750.0,6150.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_10_circuit,qft,10,circuit,0.02458802816901412,0.02458802816901412,0.02458802816901412,0.29000000000000004,0.29000000000000004,71000.0,14200.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_11_circuit,qft,11,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_12_circuit,qft,12,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_13_circuit,qft,13,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_14_circuit,qft,14,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_15_circuit,qft,15,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_4_circuit,qft,4,circuit,0.01918000000000001,0.01918000000000001,0.01918000000000001,0.9375,0.9375,6250.0,1250.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_5_circuit,qft,5,circuit,0.019733333333333342,0.019733333333333342,0.019733333333333342,0.88,0.88,12000.0,2400.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_6_circuit,qft,6,circuit,0.022194285714285736,0.022194285714285736,0.022194285714285736,0.825,0.825,17500.0,3500.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_7_circuit,qft,7,circuit,0.026622127659574453,0.026622127659574453,0.026622127659574453,0.765,0.765,23500.0,4700.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_8_circuit,qft,8,circuit,0.030104705882352936,0.030104705882352936,0.030104705882352936,0.6599999999999999,0.6599999999999999,34000.0,6800.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qft_9_circuit,qft,9,circuit,0.03104108108108109,0.03104108108108109,0.03104108108108109,0.5375,0.5375,46250.0,9250.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_10_circuit,qnn,10,circuit,0.026983333333333324,0.026983333333333324,0.026983333333333324,0.31000000000000005,0.31000000000000005,69000.0,13800.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_11_circuit,qnn,11,circuit,0.01423502673796791,0.01423502673796791,0.01423502673796791,0.06499999999999995,0.06499999999999995,93500.0,18700.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_12_circuit,qnn,12,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_13_circuit,qnn,13,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_14_circuit,qnn,14,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_15_circuit,qnn,15,circuit,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_4_circuit,qnn,4,circuit,0.016998571428571422,0.016998571428571422,0.016998571428571422,0.9299999999999999,0.9299999999999999,7000.0,1400.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_5_circuit,qnn,5,circuit,0.017221428571428558,0.017221428571428558,0.017221428571428558,0.9125,0.9125,8750.0,1750.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_6_circuit,qnn,6,circuit,0.020759491525423723,0.020759491525423723,0.020759491525423723,0.8525,0.8525,14750.0,2950.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_7_circuit,qnn,7,circuit,0.024308494623655922,0.024308494623655922,0.024308494623655922,0.7675,0.7675,23250.0,4650.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_8_circuit,qnn,8,circuit,0.025784000000000012,0.025784000000000012,0.025784000000000012,0.6875,0.6875,31250.0,6250.0,1
b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,5,qnn_9_circuit,qnn,9,circuit,0.030865824175824175,0.030865824175824175,0.030865824175824175,0.5449999999999999,0.5449999999999999,45500.0,9100.0,1
