strategy,strategy_family,config_id,batch_size,lookback_batches,stability,epsilon,traces,success_rate,median_shots,mean_shots,p95_shots,max_shots,median_tvd,mean_tvd,p95_tvd,max_tvd,stable_stop_rate,max_budget_rate
stable_shots_b100_lb3_k2_eps0p0025,stable_shots,b100_lb3_k2_eps0p0025,100.0,3.0,2.0,0.0025,180,1.0,19350.0,14711.111111111111,20000.0,20000.0,0.0032932582745523,0.005024043402560484,0.014396955337690545,0.0186691011235955,0.5055555555555555,0.49444444444444446
stable_shots_b100_lb3_k2_eps0p001,stable_shots,b100_lb3_k2_eps0p001,100.0,3.0,2.0,0.001,180,1.0,20000.0,17778.333333333332,20000.0,20000.0,0.0,0.0010905084478702682,0.005524934552777239,0.008365873015873,0.2611111111111111,0.7388888888888889
stable_shots_b100_lb3_k3_eps0p005,stable_shots,b100_lb3_k3_eps0p005,100.0,3.0,3.0,0.005,180,1.0,10500.0,12067.777777777777,20000.0,20000.0,0.0103311583577712,0.010590143163473772,0.02769446969696962,0.0309736842105262,0.6,0.4
stable_shots_b100_lb3_k3_eps0p0025,stable_shots,b100_lb3_k3_eps0p0025,100.0,3.0,3.0,0.0025,180,1.0,20000.0,15087.222222222223,20000.0,20000.0,0.0,0.004555127248213071,0.013384242424242354,0.0162198113207547,0.4888888888888889,0.5111111111111111
stable_shots_b100_lb3_k3_eps0p001,stable_shots,b100_lb3_k3_eps0p001,100.0,3.0,3.0,0.001,180,1.0,20000.0,18160.0,20000.0,20000.0,0.0,0.0007823531533660773,0.004622059690493629,0.008255905511811,0.21666666666666667,0.7833333333333333
stable_shots_b100_lb3_k5_eps0p005,stable_shots,b100_lb3_k5_eps0p005,100.0,3.0,5.0,0.005,180,1.0,10800.0,12392.777777777777,20000.0,20000.0,0.0090724489795918,0.00988890434967877,0.026168235294117614,0.0299214285714285,0.5888888888888889,0.4111111111111111
stable_shots_b100_lb3_k5_eps0p0025,stable_shots,b100_lb3_k5_eps0p0025,100.0,3.0,5.0,0.0025,180,1.0,20000.0,15487.222222222223,20000.0,20000.0,0.0,0.0038535436879999496,0.012476366286281305,0.0152959459459459,0.45555555555555555,0.5444444444444444
stable_shots_b100_lb3_k5_eps0p001,stable_shots,b100_lb3_k5_eps0p001,100.0,3.0,5.0,0.001,180,1.0,20000.0,18456.11111111111,20000.0,20000.0,0.0,0.0005726897784206211,0.0037033620689654444,0.0063055555555555,0.18888888888888888,0.8111111111111111
stable_shots_b100_lb3_k10_eps0p005,stable_shots,b100_lb3_k10_eps0p005,100.0,3.0,10.0,0.005,180,1.0,12450.0,12899.444444444445,20000.0,20000.0,0.008214465408805001,0.00892168207528984,0.023892997157722223,0.0273741573033708,0.5888888888888889,0.4111111111111111
stable_shots_b100_lb3_k10_eps0p0025,stable_shots,b100_lb3_k10_eps0p0025,100.0,3.0,10.0,0.0025,180,1.0,20000.0,16211.666666666666,20000.0,20000.0,0.0,0.002952777959291664,0.00988334605597961,0.0120209302325581,0.42777777777777776,0.5722222222222222
stable_shots_b100_lb3_k10_eps0p001,stable_shots,b100_lb3_k10_eps0p001,100.0,3.0,10.0,0.001,180,1.0,20000.0,18825.0,20000.0,20000.0,0.0,0.0003907289693858922,0.003267195340501683,0.0052394366197182,0.1388888888888889,0.8611111111111112
stable_shots_b100_lb5_k1_eps0p005,stable_shots,b100_lb5_k1_eps0p005,100.0,5.0,1.0,0.005,180,1.0,12450.0,12589.444444444445,20000.0,20000.0,0.00896089743589735,0.009319898714539294,0.023166539115646225,0.028835294117647,0.5833333333333334,0.4166666666666667
stable_shots_b100_lb5_k1_eps0p0025,stable_shots,b100_lb5_k1_eps0p0025,100.0,5.0,1.0,0.0025,180,1.0,20000.0,15448.888888888889,20000.0,20000.0,0.0,0.0036800556038901686,0.01207865979381442,0.0156747663551401,0.42777777777777776,0.5722222222222222
stable_shots_b100_lb5_k1_eps0p001,stable_shots,b100_lb5_k1_eps0p001,100.0,5.0,1.0,0.001,180,1.0,20000.0,17989.444444444445,20000.0,20000.0,0.0,0.0008522158541477956,0.005274915966386517,0.008255905511811,0.21666666666666667,0.7833333333333333
stable_shots_b100_lb5_k2_eps0p005,stable_shots,b100_lb5_k2_eps0p005,100.0,5.0,2.0,0.005,180,1.0,13000.0,12980.555555555555,20000.0,20000.0,0.00807045454545445,0.008469265814431703,0.021296238440886902,0.0260078431372548,0.5777777777777777,0.4222222222222222
stable_shots_b100_lb5_k2_eps0p0025,stable_shots,b100_lb5_k2_eps0p0025,100.0,5.0,2.0,0.0025,180,1.0,20000.0,15826.666666666666,20000.0,20000.0,0.0,0.0031367286863185585,0.010889964387464344,0.0148294520547945,0.4,0.6
stable_shots_b100_lb5_k2_eps0p001,stable_shots,b100_lb5_k2_eps0p001,100.0,5.0,2.0,0.001,180,1.0,20000.0,18442.777777777777,20000.0,20000.0,0.0,0.0005940539035807166,0.003724052298467619,0.0060227272727272,0.18333333333333332,0.8166666666666667
stable_shots_b100_lb5_k3_eps0p005,stable_shots,b100_lb5_k3_eps0p005,100.0,5.0,3.0,0.005,180,1.0,13700.0,13180.0,20000.0,20000.0,0.00739999999999995,0.008025155171612904,0.019409859567589376,0.0233188524590164,0.5722222222222222,0.42777777777777776
stable_shots_b100_lb5_k3_eps0p0025,stable_shots,b100_lb5_k3_eps0p0025,100.0,5.0,3.0,0.0025,180,1.0,20000.0,16107.222222222223,20000.0,20000.0,0.0,0.0028155410308861274,0.010232986111111087,0.0152959459459459,0.38333333333333336,0.6166666666666667
stable_shots_b100_lb5_k3_eps0p001,stable_shots,b100_lb5_k3_eps0p001,100.0,5.0,3.0,0.001,180,1.0,20000.0,18623.333333333332,20000.0,20000.0,0.0,0.00047827330184179665,0.003342292468389199,0.0063055555555555,0.16666666666666666,0.8333333333333334
stable_shots_b100_lb5_k5_eps0p005,stable_shots,b100_lb5_k5_eps0p005,100.0,5.0,5.0,0.005,180,1.0,14550.0,13565.555555555555,20000.0,20000.0,0.00622894736842105,0.007234089233877813,0.018267440476190402,0.0221808219178081,0.5666666666666667,0.43333333333333335
stable_shots_b100_lb5_k5_eps0p0025,stable_shots,b100_lb5_k5_eps0p0025,100.0,5.0,5.0,0.0025,180,1.0,20000.0,16533.88888888889,20000.0,20000.0,0.0,0.0023208383070155237,0.009092998285122547,0.0102,0.37222222222222223,0.6277777777777778
stable_shots_b100_lb5_k5_eps0p001,stable_shots,b100_lb5_k5_eps0p001,100.0,5.0,5.0,0.001,180,1.0,20000.0,18856.666666666668,20000.0,20000.0,0.0,0.00036945750756984223,0.002567008196721209,0.006409574468085,0.1388888888888889,0.8611111111111112
stable_shots_b100_lb5_k10_eps0p005,stable_shots,b100_lb5_k10_eps0p005,100.0,5.0,10.0,0.005,180,1.0,15850.0,14146.666666666666,20000.0,20000.0,0.00542499999999995,0.006294169328220075,0.01658121930919677,0.0193272727272727,0.5611111111111111,0.4388888888888889
stable_shots_b100_lb5_k10_eps0p0025,stable_shots,b100_lb5_k10_eps0p0025,100.0,5.0,10.0,0.0025,180,1.0,20000.0,17144.444444444445,20000.0,20000.0,0.0,0.0018537279224508383,0.006696160198183332,0.0101857664233576,0.35555555555555557,0.6444444444444445
stable_shots_b100_lb5_k10_eps0p001,stable_shots,b100_lb5_k10_eps0p001,100.0,5.0,10.0,0.001,180,1.0,20000.0,19202.777777777777,20000.0,20000.0,0.0,0.0002105090217780261,0.0019026999272991132,0.0042024096385542,0.1,0.9
stable_shots_b100_lb10_k1_eps0p005,stable_shots,b100_lb10_k1_eps0p005,100.0,10.0,1.0,0.005,180,1.0,19050.0,14512.777777777777,20000.0,20000.0,0.0038214912280701,0.005349934731248158,0.014798546747967465,0.018611111111111,0.5277777777777778,0.4722222222222222
stable_shots_b100_lb10_k1_eps0p0025,stable_shots,b100_lb10_k1_eps0p0025,100.0,10.0,1.0,0.0025,180,1.0,20000.0,16828.333333333332,20000.0,20000.0,0.0,0.0018859391085139204,0.008102514513788076,0.0137735632183908,0.31666666666666665,0.6833333333333333
stable_shots_b100_lb10_k1_eps0p001,stable_shots,b100_lb10_k1_eps0p001,100.0,10.0,1.0,0.001,180,1.0,20000.0,18930.555555555555,20000.0,20000.0,0.0,0.00037474259768774496,0.0027212600459241404,0.006141304347826,0.15,0.85
stable_shots_b100_lb10_k2_eps0p005,stable_shots,b100_lb10_k2_eps0p005,100.0,10.0,2.0,0.005,180,1.0,19800.0,14811.666666666666,20000.0,20000.0,0.0017921717171717,0.004837553982745434,0.013955487347703745,0.0192087912087912,0.5166666666666667,0.48333333333333334
stable_shots_b100_lb10_k2_eps0p0025,stable_shots,b100_lb10_k2_eps0p0025,100.0,10.0,2.0,0.0025,180,1.0,20000.0,17026.11111111111,20000.0,20000.0,0.0,0.0017179391683060045,0.006781541353383387,0.0120470588235294,0.3111111111111111,0.6888888888888889
stable_shots_b100_lb10_k2_eps0p001,stable_shots,b100_lb10_k2_eps0p001,100.0,10.0,2.0,0.001,180,1.0,20000.0,19073.333333333332,20000.0,20000.0,0.0,0.00030100577463226894,0.002272943262411299,0.0058928571428571,0.12777777777777777,0.8722222222222222
stable_shots_b100_lb10_k3_eps0p005,stable_shots,b100_lb10_k3_eps0p005,100.0,10.0,3.0,0.005,180,1.0,19950.0,15023.333333333334,20000.0,20000.0,0.00059642857142855,0.0045805197057594334,0.013380915915915934,0.0162214285714285,0.5,0.5
stable_shots_b100_lb10_k3_eps0p0025,stable_shots,b100_lb10_k3_eps0p0025,100.0,10.0,3.0,0.0025,180,1.0,20000.0,17291.11111111111,20000.0,20000.0,0.0,0.001487295586986625,0.006295681640242615,0.0098217391304347,0.3055555555555556,0.6944444444444444
stable_shots_b100_lb10_k3_eps0p001,stable_shots,b100_lb10_k3_eps0p001,100.0,10.0,3.0,0.001,180,1.0,20000.0,19152.777777777777,20000.0,20000.0,0.0,0.00024399122223162388,0.0020113550638550495,0.0047419354838709,0.11666666666666667,0.8833333333333333
stable_shots_b100_lb10_k5_eps0p005,stable_shots,b100_lb10_k5_eps0p005,100.0,10.0,5.0,0.005,180,1.0,20000.0,15286.666666666666,20000.0,20000.0,0.0,0.004180114210518049,0.012549779411764645,0.0156747663551401,0.48333333333333334,0.5166666666666667
stable_shots_b100_lb10_k5_eps0p0025,stable_shots,b100_lb10_k5_eps0p0025,100.0,10.0,5.0,0.0025,180,1.0,20000.0,17648.88888888889,20000.0,20000.0,0.0,0.0011638705870759501,0.0057931146179401125,0.0079115384615384,0.2722222222222222,0.7277777777777777
stable_shots_b100_lb10_k5_eps0p001,stable_shots,b100_lb10_k5_eps0p001,100.0,10.0,5.0,0.001,180,1.0,20000.0,19295.555555555555,20000.0,20000.0,0.0,0.00019055157901228445,0.0014301503923277862,0.0048124999999999,0.09444444444444444,0.9055555555555556
stable_shots_b100_lb10_k10_eps0p005,stable_shots,b100_lb10_k10_eps0p005,100.0,10.0,10.0,0.005,180,1.0,20000.0,15795.0,20000.0,20000.0,0.0,0.0034902992504067215,0.011567183664832788,0.0149714285714285,0.4444444444444444,0.5555555555555556
stable_shots_b100_lb10_k10_eps0p0025,stable_shots,b100_lb10_k10_eps0p0025,100.0,10.0,10.0,0.0025,180,1.0,20000.0,18199.444444444445,20000.0,20000.0,0.0,0.0008036401063031905,0.004023726708074559,0.0063636986301369,0.25,0.75
stable_shots_b100_lb10_k10_eps0p001,stable_shots,b100_lb10_k10_eps0p001,100.0,10.0,10.0,0.001,180,1.0,20000.0,19505.555555555555,20000.0,20000.0,0.0,0.00011506547602693611,0.001089972826086954,0.0032119469026548,0.07222222222222222,0.9277777777777778
