split_id,split_mode,repetition,bound_tau,bound_delta,bound,group_mode,calibration,test_trace_count,success_rate_all,uncovered_rate,success_rate_evaluable,success_rate_before_reference_cap,above_regular_budget_requested_rate,near_reference_cap_requested_rate,gap_uncovered_requested_rate,above_or_equal_reference_cap_requested_rate,reference_cap_rate,median_scaled_budget,mean_scaled_budget,median_scaled_tvd,mean_scaled_tvd,fallback_rate
backend_holdout_rep001,backend_holdout,1,0.05,0.05,weissman,global,p75,36,0.9722222222222222,0.0,0.9722222222222222,0.4722222222222222,0.5,0.0,0.0,0.5,0.5,15000.0,12666.666666666666,0.002325,0.013468055555555549,0.0
backend_holdout_rep001,backend_holdout,1,0.05,0.05,weissman,global,p90,36,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,17500.0,13750.0,0.00082499999999995,0.009821296296296281,0.0
backend_holdout_rep001,backend_holdout,1,0.05,0.05,weissman,size,median,36,0.8611111111111112,0.0,0.8611111111111112,0.5277777777777778,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,12500.0,11666.666666666666,0.01039166666666665,0.019567592592592567,0.0
backend_holdout_rep001,backend_holdout,1,0.05,0.05,weissman,size,p75,36,0.9166666666666666,0.0,0.9166666666666666,0.5833333333333334,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,12500.0,12083.333333333334,0.01039166666666665,0.017606481481481463,0.0
backend_holdout_rep001,backend_holdout,1,0.05,0.05,weissman,size,p90,36,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,14000.0,12583.333333333334,0.00836944444444445,0.01511759259259259,0.0
backend_holdout_rep001,backend_holdout,1,0.05,0.05,weissman,size_algorithm,median,36,0.8888888888888888,0.0,0.8888888888888888,0.7222222222222222,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,8972.222222222223,0.0293055555555556,0.026604938271604945,0.0
backend_holdout_rep001,backend_holdout,1,0.05,0.05,weissman,size_algorithm,p75,36,0.9444444444444444,0.0,0.9444444444444444,0.7777777777777778,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,7500.0,9333.333333333334,0.02845,0.0249513888888889,0.0
backend_holdout_rep001,backend_holdout,1,0.05,0.05,weissman,size_algorithm,p90,36,0.9444444444444444,0.0,0.9444444444444444,0.7777777777777778,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,7500.0,9333.333333333334,0.02845,0.0249513888888889,0.0
backend_holdout_rep002,backend_holdout,2,0.05,0.05,hoeffding,global,median,36,0.75,0.0,0.75,0.25,0.5,0.16666666666666666,0.0,0.3333333333333333,0.5,10500.0,10500.0,0.00384999999999995,0.036388888888888866,0.0
backend_holdout_rep002,backend_holdout,2,0.05,0.05,hoeffding,global,p75,36,0.9444444444444444,0.0,0.9444444444444444,0.2777777777777778,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,20000.0,13916.666666666666,0.0,0.010355555555555547,0.0
