trace_id,algorithm,size,backend,strategy,strategy_family,shots,target_tvd,original_tvd_to_reference,original_success,boot_mean_tvd_independent_ref,boot_ci2p5_tvd_independent_ref,boot_ci50_tvd_independent_ref,boot_ci97p5_tvd_independent_ref,boot_p_success_independent_ref,boot_mean_tvd_to_phat,boot_ci97p5_tvd_to_phat,floor_mean_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
qaoa_4_fake_marrakesh,qaoa,4,fake_marrakesh,Fixed-5k,fixed,5000,0.05,0.006150000000000004,True,0.011546700000000003,0.005673749999999996,0.010600000000000002,0.022715,1.0,0.0103322,0.020904999999999965,0.0073259,0.013726250000000002
qaoa_4_fake_marrakesh,qaoa,4,fake_marrakesh,Fixed-10k,fixed,10000,0.05,0.0025499999999999755,True,0.009085900000000001,0.004199999999999982,0.00835000000000001,0.017878749999999995,1.0,0.0073579000000000006,0.015283749999999974,0.0073259,0.013726250000000002
qaoa_4_fake_marrakesh,qaoa,4,fake_marrakesh,Fixed-18k,fixed,18000,0.05,0.001588888888888901,True,0.007618066666666666,0.003669027777777768,0.006930555555555572,0.015327083333333335,1.0,0.005550533333333332,0.011003750000000005,0.0073259,0.013726250000000002
qaoa_4_fake_marrakesh,qaoa,4,fake_marrakesh,StableShots,stable_shots,2100,0.05,0.012816666666666664,True,0.0172869,0.007977559523809538,0.015964285714285716,0.0331607738095238,1.0,0.016469690476190478,0.03165898809523807,0.0073259,0.013726250000000002
qaoa_4_fake_sherbrooke,qaoa,4,fake_sherbrooke,Fixed-5k,fixed,5000,0.05,0.013899999999999992,True,0.0153285,0.007799999999999997,0.01455000000000001,0.025828749999999984,1.0,0.0137076,0.023976249999999994,0.00933,0.01515249999999999
qaoa_4_fake_sherbrooke,qaoa,4,fake_sherbrooke,Fixed-10k,fixed,10000,0.05,0.010350000000000008,True,0.0116563,0.006623749999999975,0.011000000000000003,0.02048374999999999,1.0,0.0096323,0.01605499999999999,0.00933,0.01515249999999999
qaoa_4_fake_sherbrooke,qaoa,4,fake_sherbrooke,Fixed-18k,fixed,18000,0.05,0.002294444444444442,True,0.010111955555555555,0.0053163888888889,0.009647222222222201,0.01772305555555554,1.0,0.0072703111111111106,0.012403472222222229,0.00933,0.01515249999999999
qaoa_4_fake_sherbrooke,qaoa,4,fake_sherbrooke,StableShots,stable_shots,2200,0.05,0.02615000000000002,True,0.021967572727272726,0.012027386363636362,0.02105454545454547,0.0369684090909091,1.0,0.020805699999999996,0.03458204545454547,0.00933,0.01515249999999999
qaoa_4_fake_torino,qaoa,4,fake_torino,Fixed-5k,fixed,5000,0.05,0.005499999999999949,True,0.014709999999999997,0.008323749999999993,0.014025,0.025476249999999985,1.0,0.0131172,0.023178749999999988,0.009223700000000001,0.016100000000000003
qaoa_4_fake_torino,qaoa,4,fake_torino,Fixed-10k,fixed,10000,0.05,0.002700000000000034,True,0.011312099999999999,0.005845000000000022,0.010499999999999997,0.02040500000000002,1.0,0.009201,0.01660499999999998,0.009223700000000001,0.016100000000000003
qaoa_4_fake_torino,qaoa,4,fake_torino,Fixed-18k,fixed,18000,0.05,0.0014555555555555437,True,0.009464511111111112,0.004802083333333344,0.009061111111111131,0.015851388888888877,1.0,0.006891322222222222,0.012091805555555548,0.009223700000000001,0.016100000000000003
qaoa_4_fake_torino,qaoa,4,fake_torino,StableShots,stable_shots,2750,0.05,0.014990909090909103,True,0.019142636363636365,0.010680681818181832,0.01842045454545454,0.031939772727272726,1.0,0.017662081818181817,0.028841931818181822,0.009223700000000001,0.016100000000000003
qaoa_5_fake_fez,qaoa,5,fake_fez,Fixed-5k,fixed,5000,0.05,0.015549999999999994,True,0.025909199999999997,0.017247500000000006,0.025799999999999997,0.03532625,1.0,0.023400400000000002,0.032757499999999995,0.0164743,0.023228749999999996
qaoa_5_fake_fez,qaoa,5,fake_fez,Fixed-10k,fixed,10000,0.05,0.009749999999999997,True,0.020218200000000002,0.013399999999999992,0.020175,0.028652500000000004,1.0,0.016436800000000005,0.022655,0.0164743,0.023228749999999996
qaoa_5_fake_fez,qaoa,5,fake_fez,Fixed-18k,fixed,18000,0.05,0.004155555555555548,True,0.016999355555555557,0.01125125,0.016755555555555555,0.023351111111111114,1.0,0.012326244444444445,0.017053472222222223,0.0164743,0.023228749999999996
qaoa_5_fake_fez,qaoa,5,fake_fez,StableShots,stable_shots,4350,0.05,0.01805977011494252,True,0.02705744022988506,0.017601163793103447,0.026929597701149416,0.037925301724137925,1.0,0.024681689655172413,0.034531206896551724,0.0164743,0.023228749999999996
qaoa_5_fake_kyiv,qaoa,5,fake_kyiv,Fixed-5k,fixed,5000,0.05,0.022049999999999997,True,0.028130400000000003,0.020073749999999998,0.027925000000000005,0.03785,1.0,0.0252457,0.03373125,0.0177454,0.023876249999999998
qaoa_5_fake_kyiv,qaoa,5,fake_kyiv,Fixed-10k,fixed,10000,0.05,0.011800000000000008,True,0.021998900000000002,0.015223750000000001,0.02189999999999999,0.031233749999999987,1.0,0.017862700000000002,0.024550000000000006,0.0177454,0.023876249999999998
qaoa_5_fake_kyiv,qaoa,5,fake_kyiv,Fixed-18k,fixed,18000,0.05,0.003544444444444435,True,0.018298366666666666,0.012639166666666677,0.01810833333333333,0.02438388888888888,1.0,0.013359166666666667,0.017741111111111107,0.0177454,0.023876249999999998
qaoa_5_fake_kyiv,qaoa,5,fake_kyiv,StableShots,stable_shots,5300,0.05,0.02012075471698115,True,0.027186062264150945,0.019061768867924534,0.02729905660377359,0.03613959905660376,1.0,0.0242437320754717,0.032773466981132086,0.0177454,0.023876249999999998
qaoa_5_fake_marrakesh,qaoa,5,fake_marrakesh,Fixed-5k,fixed,5000,0.05,0.02129999999999999,True,0.025077,0.01645,0.024650000000000002,0.03622625,1.0,0.0224461,0.03215249999999999,0.015697500000000003,0.022202500000000003
qaoa_5_fake_marrakesh,qaoa,5,fake_marrakesh,Fixed-10k,fixed,10000,0.05,0.012150000000000001,True,0.0191565,0.012523750000000012,0.019050000000000008,0.02610249999999999,1.0,0.015601499999999999,0.02175249999999999,0.015697500000000003,0.022202500000000003
qaoa_5_fake_marrakesh,qaoa,5,fake_marrakesh,Fixed-18k,fixed,18000,0.05,0.004250000000000003,True,0.016092866666666667,0.010527777777777782,0.015930555555555552,0.022718472222222213,1.0,0.011848455555555557,0.01637,0.015697500000000003,0.022202500000000003
qaoa_5_fake_marrakesh,qaoa,5,fake_marrakesh,StableShots,stable_shots,4850,0.05,0.021791752577319582,True,0.025449390721649486,0.016884922680412376,0.025286340206185563,0.03451135309278351,1.0,0.022791993814432993,0.03129958762886597,0.015697500000000003,0.022202500000000003
qaoa_5_fake_sherbrooke,qaoa,5,fake_sherbrooke,Fixed-5k,fixed,5000,0.05,0.02319999999999999,True,0.028548900000000002,0.02038999999999999,0.027950000000000006,0.03865,1.0,0.025580600000000002,0.03455000000000001,0.0180881,0.02385499999999999
qaoa_5_fake_sherbrooke,qaoa,5,fake_sherbrooke,Fixed-10k,fixed,10000,0.05,0.011250000000000007,True,0.0219553,0.015318749999999996,0.021725000000000008,0.028402500000000004,1.0,0.0179476,0.0238025,0.0180881,0.02385499999999999
qaoa_5_fake_sherbrooke,qaoa,5,fake_sherbrooke,Fixed-18k,fixed,18000,0.05,0.004888888888888889,True,0.0189578,0.013583333333333326,0.01873333333333333,0.02478152777777777,1.0,0.013495122222222222,0.017642361111111116,0.0180881,0.02385499999999999
qaoa_5_fake_sherbrooke,qaoa,5,fake_sherbrooke,StableShots,stable_shots,4000,0.05,0.022799999999999997,True,0.031668,0.022423749999999996,0.031225,0.042564999999999985,1.0,0.0289659,0.038528749999999994,0.0180881,0.02385499999999999
qaoa_5_fake_torino,qaoa,5,fake_torino,Fixed-5k,fixed,5000,0.05,0.015399999999999992,True,0.027680700000000003,0.01952124999999999,0.02735000000000002,0.03730749999999998,1.0,0.024866199999999998,0.032876249999999996,0.0176084,0.02367874999999998
qaoa_5_fake_torino,qaoa,5,fake_torino,Fixed-10k,fixed,10000,0.05,0.012100000000000007,True,0.0214027,0.015197499999999996,0.021025000000000012,0.029431249999999992,1.0,0.0176275,0.023376250000000008,0.0176084,0.02367874999999998
qaoa_5_fake_torino,qaoa,5,fake_torino,Fixed-18k,fixed,18000,0.05,0.004638888888888874,True,0.017854277777777778,0.012146249999999999,0.017694444444444436,0.02358152777777777,1.0,0.012938555555555556,0.017383611111111117,0.0176084,0.02367874999999998
