trace_id,algorithm,size,backend,reference_shots,floor_mean_tvd_20k_vs_20k,floor_ci2p5_tvd_20k_vs_20k,floor_ci50_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
qaoa_14_fake_marrakesh,qaoa,14,fake_marrakesh,20000,0.1115043,0.10562124999999999,0.11125,0.11797624999999999
qaoa_14_fake_sherbrooke,qaoa,14,fake_sherbrooke,20000,0.20453820000000003,0.19899250000000002,0.2044,0.21017625
qaoa_14_fake_torino,qaoa,14,fake_torino,20000,0.15333280000000002,0.14747125,0.1532,0.15935000000000002
qaoa_15_fake_fez,qaoa,15,fake_fez,20000,0.19567270000000003,0.19022375,0.1956,0.20155
qaoa_15_fake_kyiv,qaoa,15,fake_kyiv,20000,0.2589571,0.253,0.2589,0.26532874999999995
qaoa_15_fake_marrakesh,qaoa,15,fake_marrakesh,20000,0.1861775,0.17962375,0.1864,0.19215
qaoa_15_fake_sherbrooke,qaoa,15,fake_sherbrooke,20000,0.24218650000000003,0.2358,0.24220000000000003,0.248155
qaoa_15_fake_torino,qaoa,15,fake_torino,20000,0.231501,0.22612375,0.2314,0.23727875
qaoa_4_fake_fez,qaoa,4,fake_fez,20000,0.0083795,0.004423749999999997,0.007799999999999963,0.015026249999999993
qaoa_4_fake_kyiv,qaoa,4,fake_kyiv,20000,0.0099888,0.005750000000000006,0.00945000000000001,0.016549999999999978
qaoa_4_fake_marrakesh,qaoa,4,fake_marrakesh,20000,0.0073259,0.0031737500000000025,0.006675000000000006,0.013726250000000002
qaoa_4_fake_sherbrooke,qaoa,4,fake_sherbrooke,20000,0.00933,0.005050000000000032,0.008999999999999984,0.01515249999999999
qaoa_4_fake_torino,qaoa,4,fake_torino,20000,0.009223700000000001,0.004700000000000018,0.008800000000000006,0.016100000000000003
qaoa_5_fake_fez,qaoa,5,fake_fez,20000,0.0164743,0.01117375,0.016225,0.023228749999999996
qaoa_5_fake_kyiv,qaoa,5,fake_kyiv,20000,0.0177454,0.012368749999999998,0.017775,0.023876249999999998
qaoa_5_fake_marrakesh,qaoa,5,fake_marrakesh,20000,0.015697500000000003,0.010000000000000014,0.015449999999999992,0.022202500000000003
qaoa_5_fake_sherbrooke,qaoa,5,fake_sherbrooke,20000,0.0180881,0.013050000000000008,0.017900000000000006,0.02385499999999999
qaoa_5_fake_torino,qaoa,5,fake_torino,20000,0.0176084,0.011923749999999988,0.017574999999999993,0.02367874999999998
qaoa_6_fake_fez,qaoa,6,fake_fez,20000,0.0231097,0.018071249999999997,0.023000000000000003,0.029378750000000002
qaoa_6_fake_kyiv,qaoa,6,fake_kyiv,20000,0.025021,0.01949750000000001,0.02495,0.030902500000000003
qaoa_6_fake_marrakesh,qaoa,6,fake_marrakesh,20000,0.0228333,0.01742375,0.02269999999999999,0.029152500000000005
